,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p82_normal_seed_1,alphablend_0p85_normal_seed_1,alphablend_0p88_normal_seed_1,alphablend_0p90_normal_seed_1,alphablend_0p92_normal_seed_1,alphablend_0p95_normal_seed_1,alphablend_0p98_normal_seed_1
alphablend_0p10_normal,0.9932487487792969,0.9909377813339233,0.9915284901857376,0.9964325547218322,0.9976556330919266,0.9969142794609069,0.9917523443698884,0.966975012421608,0.8835590720176697,0.9692922294139862,0.8694155275821686,0.7837274074554443,0.7841688007116318,0.722396981716156,0.6950972944498062
alphablend_0p20_normal,0.993336895108223,0.9898778110742569,0.991483724117279,0.9965360105037689,0.9975290685892105,0.9961499482393265,0.9914984375238418,0.9658794194459915,0.8861961498856544,0.9681420743465423,0.8663339525461197,0.7962557345628738,0.7844844505190849,0.7409067675471306,0.7177594527602196
alphablend_0p30_normal,0.9924845099449158,0.9893595755100251,0.9931408107280731,0.9967963039875031,0.9976275742053986,0.9967136323451996,0.9945815026760101,0.975704875588417,0.9168153464794159,0.9692564189434052,0.8688230514526367,0.8172136932611466,0.8057111114263534,0.752192810177803,0.7256341472268104
alphablend_0p40_normal,0.9877313852310181,0.9874183386564255,0.9908981680870056,0.9957034558057785,0.9971977800130845,0.9961971282958985,0.994900432229042,0.9820081919431687,0.9283566147089004,0.9768762439489365,0.8749253779649735,0.8197877824306488,0.8272948771715164,0.7750677719712258,0.7135958299040794
alphablend_0p50_normal,0.9618400424718857,0.9812018245458602,0.9887081980705261,0.9940832376480102,0.9965299785137176,0.9948667109012603,0.995130056142807,0.9910723835229873,0.9732355862855911,0.9836894810199738,0.8861862808465958,0.8480175048112869,0.8388631075620652,0.7948130533099175,0.7329479873180389
alphablend_0p60_normal,0.8031705439090728,0.9416339486837387,0.9866159528493881,0.9916821748018265,0.9954615861177445,0.9941717684268951,0.9951777398586273,0.9915322214365005,0.9841520965099335,0.9821339845657349,0.879146721959114,0.8524677962064743,0.8431225597858429,0.7966620951890946,0.7165504410862923
alphablend_0p70_normal,0.40247220303863285,0.8013374909758568,0.9551967531442642,0.9137973725795746,0.9284907668828964,0.9911271244287491,0.9950401186943054,0.992814165353775,0.9904804110527039,0.978820750117302,0.8760524421930314,0.8392562359571457,0.8458362877368927,0.7886888220906257,0.7105894386768341
alphablend_0p80_normal,0.0886450299352873,0.6504158213734627,0.7054757907986641,0.755538322031498,0.5869934178888798,0.8779748633503914,0.9836103767156601,0.9891956180334092,0.9876334220170975,0.9690882623195648,0.8517525017261505,0.8141066536307335,0.8230160593986511,0.7790291413664818,0.6818761005997658
alphablend_0p82_normal,0.042176752584055066,0.595904192328453,0.6547034606337547,0.7543722450733185,0.4530911408364773,0.801113760471344,0.9782810866832733,0.9870865821838379,0.9867714524269104,0.9674554824829101,0.8543042421340943,0.809040729701519,0.8212935149669647,0.773616136610508,0.6599329441785813
alphablend_0p85_normal,0.03898214977234602,0.4797540560364723,0.4934386759996414,0.7263280004262924,0.09732387848198414,0.7151410728693008,0.9307671189308167,0.9609358102083206,0.9792110681533813,0.9488416254520416,0.8578344374895096,0.8028685420751571,0.8161756113171578,0.7809394553303719,0.6372607454657555
alphablend_0p88_normal,0.04128933139145374,0.3328485950827599,0.23968307562172414,0.35358805768191814,0.006790633726632222,0.5850578255951404,0.81735809892416,0.8620663717389107,0.9490332245826721,0.9182941883802413,0.8248995304107666,0.7841104239225387,0.8021830677986145,0.7481334343552589,0.6232554033398628
alphablend_0p90_normal,0.043346804566681385,0.27955285720527173,0.14831257332116365,0.19290722273290156,0.004633380611267057,0.4938997909426689,0.7594711229205131,0.7731351882219315,0.8880763202905655,0.8790734514594079,0.8006959959864617,0.7535393923521042,0.779253038764,0.733117489516735,0.6107459709048271
alphablend_0p92_normal,0.049064861098304394,0.2204063307493925,0.13758868221193551,0.07572196503169834,0.0029067059942462945,0.3511466167867184,0.7120174676179886,0.6982814833521843,0.7820735543966293,0.8006372883915901,0.7552196979522705,0.7028687432408333,0.77050202190876,0.7231206715106964,0.601547372341156
alphablend_0p95_normal,0.06707212738692761,0.17659883052110673,0.15198462791740894,0.018090285312428022,0.0028683784930763068,0.12729437835514545,0.6290959849953651,0.503291554749012,0.608883161097765,0.6400508113205433,0.6041135508567095,0.641740870475769,0.6707303538918495,0.6452920734882355,0.5593578286468983
alphablend_0p98_normal,0.07174728037789464,0.1547397868707776,0.16989034470170736,0.00619543633183639,0.00235393419607135,0.03834707629866898,0.4796504661440849,0.31515429727733135,0.4452358834445477,0.4443063497543335,0.352957920730114,0.4279263514094055,0.46203950569033625,0.5147317662835121,0.5424117490649223
