,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p82_normal_seed_1,alphablend_0p85_normal_seed_1,alphablend_0p88_normal_seed_1,alphablend_0p90_normal_seed_1,alphablend_0p92_normal_seed_1,alphablend_0p95_normal_seed_1,alphablend_0p98_normal_seed_1
alphablend_0p10_normal,0.9905899703502655,0.9902402728796005,0.9902193635702133,0.9899319589138031,0.9885688960552216,0.986120167374611,0.9698078721761704,0.4374427042901516,0.9240535020828247,0.76415234208107,0.7594360828399658,0.5296994492411613,0.5552722088992595,0.3747713670134544,0.380198984593153
alphablend_0p20_normal,0.9892843812704086,0.9896606028079986,0.9906505614519119,0.9901571214199066,0.9891471683979034,0.9861190408468247,0.9699203133583069,0.44242909401655195,0.933351069688797,0.7784047424793243,0.8052169620990753,0.4982932686805725,0.6009773328900337,0.38245121352374556,0.3973163075745106
alphablend_0p30_normal,0.9858897030353546,0.9881580770015717,0.9887517899274826,0.9889519810676575,0.9882478535175323,0.985520800948143,0.9700340211391449,0.45224196910858155,0.9363694995641708,0.7996534451842308,0.8131326138973236,0.6084330245852471,0.7240261703729629,0.45368566662073134,0.5085736699402332
alphablend_0p40_normal,0.9758826971054078,0.9831634014844894,0.9827643692493438,0.9863036185503006,0.9858992218971252,0.9833478718996048,0.9695682376623154,0.4914026141166687,0.9409693211317063,0.7889656007289887,0.8115251034498214,0.6258883088827133,0.6985020652413368,0.469959781318903,0.5065980337560176
alphablend_0p50_normal,0.9361613065004348,0.9598183989524841,0.8988275706768036,0.9784100651741028,0.9822191447019577,0.9815390467643738,0.9669012397527694,0.5724727362394333,0.937071681022644,0.7849450095556676,0.8352274894714355,0.6424116402864456,0.7399451598525048,0.5582330361008644,0.5724819511175155
alphablend_0p60_normal,0.6809110432863236,0.748653756082058,0.5325669713318348,0.7186893224716187,0.966861155629158,0.9782599091529847,0.9636073559522629,0.8091805189847946,0.9194350570440293,0.7772460304200649,0.788927537202835,0.6125877797603607,0.67781563103199,0.49882694110274317,0.5356544408947229
alphablend_0p70_normal,0.4129510045051575,0.43078259825706483,0.3376921020448208,0.30884006544947623,0.5412622466683388,0.8868304133415222,0.9583278119564056,0.9285484254360199,0.8984541684389115,0.7000991156324744,0.7657592743635178,0.6317282252013683,0.6591971576213836,0.4470125436782837,0.4181382365524769
alphablend_0p80_normal,0.2989544779062271,0.2857499424368143,0.25384047329425813,0.24137913286685944,0.2491246908903122,0.27893841192126273,0.652292612195015,0.9058623522520065,0.8109972953796387,0.6224892035126686,0.6383358493447304,0.4984067723155022,0.5028335809707641,0.3981393113732338,0.3996861815452576
alphablend_0p82_normal,0.2750980295240879,0.2615758918225765,0.24431860074400902,0.239253805950284,0.24198014065623283,0.2534500755369663,0.47385287582874297,0.8887919336557388,0.807416895031929,0.6842116773128509,0.6219409883022309,0.5099045753479003,0.5364904798567295,0.3868253715336323,0.3710923228412867
alphablend_0p85_normal,0.2630534704774618,0.25296959429979327,0.24205323494970798,0.23896576575934886,0.2399175524711609,0.24298586137592793,0.30571481920778754,0.7618378028273582,0.6687166102230548,0.5828356187790632,0.5671244166791439,0.45081858038902284,0.44553948333486915,0.3900887630879879,0.34680329337716104
alphablend_0p88_normal,0.2506262999027967,0.24510022364556788,0.2400136858224869,0.23856572583317756,0.23862861953675746,0.23991162702441216,0.25568925142288207,0.4778271894901991,0.5254835143685341,0.42581425085663793,0.4851383715867996,0.48414250314235685,0.4287319488823414,0.38038442358374597,0.3947803810238838
alphablend_0p90_normal,0.25362707786262034,0.246797776222229,0.2405553303658962,0.23866744078695773,0.23875311836600305,0.239856244251132,0.24593503810465336,0.3853699840605259,0.4878126189112663,0.362921473570168,0.4497280020266771,0.4445742130279541,0.45815769508481025,0.3763473104685545,0.37221475765109063
alphablend_0p92_normal,0.2519868168979883,0.24493197351694107,0.24033100865781307,0.23861935436725618,0.238639085739851,0.2394415710121393,0.24355330280959606,0.3231796909123659,0.447281027585268,0.3503513326169923,0.4194327458739281,0.38567851968109607,0.38761033304035664,0.38240267261862754,0.3539181791245937
alphablend_0p95_normal,0.24776834063231945,0.2430443439632654,0.2400622695684433,0.23859611637890338,0.2384974617511034,0.23920881152153015,0.24211562387645244,0.2894075565040112,0.37987463288009166,0.25293743386864664,0.3781766600906849,0.36583656556904315,0.3768406990915537,0.37700294256210326,0.37523145638406274
alphablend_0p98_normal,0.24046220481395722,0.23973306827247143,0.2389150843024254,0.23844012878835202,0.23822938315570355,0.23879356160759926,0.2419011864811182,0.26926519088447093,0.34743544831871986,0.2694007050478831,0.33564128410071137,0.32553213089704514,0.32502643843763507,0.35964240580797197,0.3530820205807686
