,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p82_normal_seed_1,alphablend_0p85_normal_seed_1,alphablend_0p88_normal_seed_1,alphablend_0p90_normal_seed_1,alphablend_0p92_normal_seed_1,alphablend_0p95_normal_seed_1,alphablend_0p98_normal_seed_1
alphablend_0p10_normal,1.8085045594436262,1.732842712474619,1.844974746830583,1.4189101800615371,1.298528137423857,11.666451921965457,23.811074867794257,85.03810356653533,103.62435598432651,32.986568115493796,21.08951454042411,54.83725750022326,40.51690330916592,51.03661956596288,50.73788315366656
alphablend_0p20_normal,1.8059978486925226,1.9889979937555018,1.873935433230954,1.236396103067893,1.3363961030678928,8.09500324509643,25.332986148126952,69.78296084731717,100.43990225471126,28.30914174080503,15.275553711631739,37.38442287930526,40.6736249478778,34.95947982603878,38.97073769379987
alphablend_0p30_normal,8.11429309622698,2.181584555485101,1.9242640687119283,1.2949747468305834,1.1656854249492379,3.3571067811865474,21.38420362539157,75.8333226082003,92.19418624335489,25.591701411453126,14.228786075003015,24.275031352764664,24.88058276446037,31.454642030134398,35.66434123047456
alphablend_0p40_normal,31.56846478958581,9.657997171014019,2.1867533187459034,1.436396103067893,1.3067781457055727,5.313467158283887,14.29757925479675,46.877215176753246,82.69479990337675,17.622666023608822,14.202518580008924,28.743882267020133,23.079842678188946,31.047317130348397,39.698475240451316
alphablend_0p50_normal,76.63267182202136,33.12532294623461,3.929220606909296,2.7417023861973226,1.5192388155425118,1.5227945415847155,1.5863961030678928,19.585336208787545,40.79444199654628,3.9366812281995465,20.210368631381037,23.066019953057623,27.833096767170495,37.220685090556344,40.26790144932316
alphablend_0p60_normal,108.40917870907329,102.93673517180514,31.339166058049358,23.3644627962979,5.532559599234363,1.6803849434555516,1.718910180061537,8.690680919338119,19.104181369140495,3.884075199629661,14.488397306467684,18.745937246888452,18.14314243784428,29.06129981697732,39.6242393252451
alphablend_0p70_normal,132.04630649959108,112.78199562432778,85.32627349462754,47.00547499502979,61.67219277373149,20.56699661808567,1.9014242570551816,5.9852659355219755,2.3598183870054386,3.6806221920446647,22.718035281462857,25.274582188332975,29.4085415541479,41.9712510559777,42.41832775731546
alphablend_0p80_normal,144.88714228637969,133.36518881961052,122.1273452347286,118.68545212869064,135.08700772169925,96.68255288791418,21.066718781687747,2.800237041558832,4.917047516634827,5.799205772519231,21.63156712078577,26.576390212211372,22.05238197085722,30.431381975918846,50.223461269576575
alphablend_0p82_normal,145.4433883741219,136.87747354366755,135.96943831558474,136.09442366945774,143.4958284348702,101.49643012546603,49.599065359182774,3.203583461316085,2.8110179990349886,6.721122362908176,23.249625718708742,31.811932902709497,24.157535513495397,30.454450488160973,56.5701584611672
alphablend_0p85_normal,146.10118573595133,142.25845941778886,145.1823430279118,141.6264177485425,145.1401371852894,101.54206513347266,61.875395779131544,39.20453935113615,8.12893901175903,11.6133878129382,31.49020098248826,38.40865428432755,34.13677895447243,40.79628946347781,59.88630690631071
alphablend_0p88_normal,146.1412884953788,145.56841377024148,145.88185124183084,145.12878809960083,145.73298514345183,113.28369202127121,101.385300438239,85.86226623733238,54.4614276336914,31.985424329257178,40.89580012360096,48.387564350931406,34.47331637943265,42.296889873048755,58.31046191502229
alphablend_0p90_normal,146.1118680826209,145.62906063080868,146.1255099469814,146.00724828967216,146.04115021655937,119.84556824352065,114.81090897907382,106.22048671484974,82.9629548570309,65.45581244727857,50.51378958622553,58.830412982095595,51.4564564246935,45.170192335437655,62.77249576602499
alphablend_0p92_normal,146.04837291576365,145.80330646766873,146.14282706038665,145.9389101035059,146.16560288736474,131.69652484006866,114.12357023457352,121.0668482048446,111.55311946476631,75.37451026482594,68.0972088933368,65.39080886826557,50.43432467213359,50.40925624849518,65.02597943382892
alphablend_0p95_normal,146.1224838833712,145.62665525288253,146.08599574612492,146.20827331674505,146.2602300711639,139.69833298382744,109.4050291304837,123.77722579636846,119.72277085846363,101.10553093487967,75.80453109555035,80.7858960683532,76.79493599269968,63.66298658268531,67.94656147881008
alphablend_0p98_normal,146.17184317215205,145.95267889624859,146.14907925396363,146.05333165721441,146.3027031948737,141.96162710089177,130.73103039016,124.62412034325128,121.5241385004903,105.69112612909771,86.37296199900454,83.79101017183906,84.44672064941145,67.84317656360066,69.44699114068605
