,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p82_normal_seed_1,alphablend_0p85_normal_seed_1,alphablend_0p88_normal_seed_1,alphablend_0p90_normal_seed_1,alphablend_0p92_normal_seed_1,alphablend_0p95_normal_seed_1,alphablend_0p98_normal_seed_1
alphablend_0p10_normal,2.1927118234681244,2.5216805062637397,2.513617347243387,3.868525066705987,2.718428894826178,5.489578678922052,9.647599055403004,117.05774667048206,127.93489844046876,129.9584100254911,63.278946363842934,94.30490658808723,90.39494006126623,114.9346561937701,108.2626081929395
alphablend_0p20_normal,2.6500833038818525,6.238499472249078,2.4859049321716067,2.768242045564816,2.832227637414893,3.6295051680612302,11.126565576135391,117.47287692346795,124.99767158651889,130.70706948387448,58.55638610902274,97.92822169095913,92.58062753254544,113.78700757561145,111.04485427504396
alphablend_0p30_normal,10.870919537949334,10.098264725062679,2.753461796671131,2.9363782542053194,2.8082733442539225,12.502391684327456,14.319792474039485,117.0291663059664,123.71964547430218,129.72086018064778,46.152967815737796,84.13696200203361,70.86722754839718,111.58461932922907,112.29129757903335
alphablend_0p40_normal,23.651420662096438,17.57871428329647,3.146093888733443,3.4314319057307174,3.078225032674591,3.785157133326284,7.786996079933617,110.04057539605378,122.2957235320317,129.44221607324607,60.94157457750922,84.96634837795224,78.82086145858639,109.58784568328853,109.39588368507768
alphablend_0p50_normal,57.75951124237031,66.02279541158421,50.97865993338665,18.552455417654066,9.196660652273057,4.418749009136924,8.340099618913914,101.21068078454319,109.94171994440087,122.71497746114258,53.20279661004345,74.00019508693268,51.6726736520494,104.79946836476384,110.69647112235695
alphablend_0p60_normal,110.6865921705504,119.71149230997078,115.45014528292795,101.05400124931619,78.34548103887145,17.35910954303413,6.224145235972346,44.96868734080199,68.88138541622877,82.08034555490458,63.75664439892769,75.9711428304704,inf,104.45488456843086,106.90998456499729
alphablend_0p70_normal,124.31450934369471,133.32003696340058,131.8788578353925,129.63478079916632,130.58623606674894,107.8890421518579,30.22960777157021,28.587276054005475,23.822113136952183,44.02958935560264,78.24150838946989,86.30553918260038,72.77202751854415,106.53739150858712,108.70232408904573
alphablend_0p80_normal,136.15490521542802,142.7619485638024,141.23430702566318,139.8812218330835,143.146698017058,139.29836702677306,126.91904567999336,33.55917070860189,57.08410500012076,62.331997163808275,95.29764195282874,97.14353342434133,89.68052033563643,108.2600559837467,105.77382405285725
alphablend_0p82_normal,137.75704793833523,143.30816089939975,142.7878598693174,141.30136805107915,143.56134112670662,140.61763543562503,133.29959977730795,63.073196840312676,66.1959353513715,66.47655397881815,101.8836403840492,94.92601930272032,92.00593915336906,107.40130858180142,107.24491984095611
alphablend_0p85_normal,138.33206113619732,143.19581637397607,142.43039924310784,141.6348316992606,143.40937023335272,142.52005576042433,138.70341820076482,97.12860098197055,94.65956311878483,78.80672493941016,102.14043521383215,104.65381880144034,91.75326705139783,111.01412461635246,112.06967980361546
alphablend_0p88_normal,140.61637887501408,143.95781349874346,143.2212164003331,142.45339787528644,143.77076906402786,143.29419765319372,140.9147497878333,109.50256994315339,107.37560261875826,90.10660186015464,104.14129832127458,102.61100087900854,99.04679913934343,105.86145461184249,109.25548332665844
alphablend_0p90_normal,140.58607861771333,144.38862946824128,143.59730614294313,142.55638244252572,144.16106382605705,143.07430308180523,141.38796451393722,118.69767483877152,112.93682286467272,94.33128747836997,106.53576146546914,101.27527110493483,95.32895635233514,108.69306267565739,104.4591651623862
alphablend_0p92_normal,141.4053841788605,144.42089888452622,143.82272586809717,142.90206053625153,144.31734335085247,143.8287860583439,142.10577972721268,123.75415942069144,118.07065008292565,93.6179264417681,105.09707434248102,97.68469301947059,92.6653597851389,108.61897770668027,107.91695622611334
alphablend_0p95_normal,140.22158638168187,143.58282945217752,142.94677900714862,142.73279639054175,144.23442442742444,142.96169491972023,141.83723109868885,125.42132553875504,118.53279188564605,94.47162505786821,102.7482060648895,99.70710610666228,94.32471112458339,111.29695793178826,106.67511909428845
alphablend_0p98_normal,141.05542097442404,144.29711123828724,143.36974196834097,142.4637601056121,144.05901837217178,143.5328504599002,141.91847877144025,129.46631078002125,119.96502344499307,101.56911255383913,111.48093800319472,104.02432366876224,95.39733273913161,113.85440735874847,104.78224276184035
