,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p82_normal_seed_1,alphablend_0p85_normal_seed_1,alphablend_0p88_normal_seed_1,alphablend_0p90_normal_seed_1,alphablend_0p92_normal_seed_1,alphablend_0p95_normal_seed_1,alphablend_0p98_normal_seed_1
alphablend_0p10_normal,2.484792786116313,2.265332714775178,2.0858485472372252,2.1906015498600486,2.415661350256153,17.30156351052259,9.352291079892131,134.210085882525,93.47050530005751,59.60321635177773,44.737022566328285,130.82033388774522,86.82145296208425,111.28366226236676,94.67292140683955
alphablend_0p20_normal,2.6025222140783177,2.3547610627476923,2.00655922535588,2.1256906612160393,7.198645386289843,12.081820419536669,12.524417716190648,134.2937181374918,92.38484412875559,71.95994166982568,42.02166243502974,133.0826159743358,94.0384495556935,110.63735361512745,103.74189937629902
alphablend_0p30_normal,18.244683291416163,9.188978640302432,12.237057801137249,2.5998209401036005,2.5195433763304016,20.546652222553313,13.488701023787295,132.3814911045966,91.03827574255708,39.77316865414115,46.51664729348448,126.66048471187328,72.76186850111297,104.72112271795102,97.85947883332103
alphablend_0p40_normal,46.82232207613508,27.596566634030133,45.79241505611828,2.842807285837625,2.7074964724997637,10.149523349041447,9.614947452619395,130.8793427574167,81.38109673480383,45.38082916117036,53.44199878463877,127.97070733474133,79.96616108691921,101.41173622870707,98.06046673571191
alphablend_0p50_normal,85.47076826228185,88.63412069072871,107.11718911283292,49.89077299843035,3.62051763622038,8.599927950945368,12.614869344635235,128.171219931654,25.459343608231272,40.16060100943556,60.389846208014845,130.92993060648647,65.83212394349229,88.90217639924113,85.66324243316038
alphablend_0p60_normal,121.67487432115874,121.62570125883038,129.68350016935437,123.36435365335497,43.944855931125986,9.356285048459648,10.07546255593414,118.48904855655499,17.733822066829873,51.56099559824596,59.324367328262824,125.09833469993396,76.02109209468924,98.5874739530777,97.37271260516442
alphablend_0p70_normal,127.24214760419696,133.03145279822746,138.17830752143684,138.4394470045998,122.03695999354818,85.33031450385222,14.171042845266493,65.22108345585879,19.85252671684307,55.2156854088438,57.95108311867911,129.1926603527964,79.94060641749805,93.88316142195865,96.10161552579066
alphablend_0p80_normal,138.9363352360807,141.33989153985684,142.77547993562953,143.5554013744712,141.28796917335714,135.5999531221836,117.60566329344847,36.43623530734274,58.475157492234736,87.41887891338266,90.35544439180708,132.96365480725666,92.65037017459494,104.17014035479319,99.56839664551504
alphablend_0p82_normal,140.65973920681597,142.5206488830168,143.2595490520795,143.9391099658239,142.43604594953806,140.2800452148216,128.8169428128869,62.52575721191166,74.39683737153717,88.86357584964225,88.28451738004117,134.618859091878,91.66404357553712,108.01199306668153,103.99660550347501
alphablend_0p85_normal,141.10843156308218,142.63633726827362,143.68880578428406,144.1607786236237,143.58174712617162,141.84628094115746,135.38026616297898,103.27265197846548,88.54496855916645,91.40057009951644,88.88158577960105,133.38925070469443,93.09001109078001,107.10810671320144,105.1156093980178
alphablend_0p88_normal,142.19848354762271,143.60161433785623,143.97978690800397,144.23319881691233,144.26543048767502,143.00916862590356,139.46010698296783,117.10812975866577,97.84324233235915,99.76421358948191,92.39514942673402,133.00037304392174,94.91921965263603,108.14677445348869,108.47784090404475
alphablend_0p90_normal,142.4046636753563,143.49854756849098,144.2760498233077,144.54140051066562,144.18207575352525,143.68694734355955,141.49450229194184,124.61423169151445,104.80890473771755,98.06344011603211,99.86347206074313,139.95614110339068,96.53025053923814,108.3846558704887,110.38080886596313
alphablend_0p92_normal,143.1316221772961,144.07071899211996,144.6162737299784,144.84504801971778,144.72435906678868,143.94104868565395,142.26394760096952,131.3398523394595,107.63619176669792,98.44482650343903,95.97698445751213,134.7353878079763,94.44591219307884,105.60814331445235,106.90451825438603
alphablend_0p95_normal,141.95435409064623,142.84906757261723,144.08154090179568,144.37334419077794,144.28998124300307,143.3693378858888,141.89578298543827,130.75610654467621,111.41186767665788,92.53488192180369,95.99093136678373,131.94685521966778,100.4761433741459,109.7856652465659,106.24441215617487
alphablend_0p98_normal,142.64684584071944,143.7861835812271,144.30796802521144,144.16535834568197,144.46974637383735,143.69273112312862,142.30103633808363,134.86765007499235,112.78798545366553,105.16733486944065,105.93276520875193,134.50296510965077,99.46030666165449,109.55243024238352,105.96691523242707
