,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p82_normal_seed_1,alphablend_0p85_normal_seed_1,alphablend_0p88_normal_seed_1,alphablend_0p90_normal_seed_1,alphablend_0p92_normal_seed_1,alphablend_0p95_normal_seed_1,alphablend_0p98_normal_seed_1
alphablend_0p10_normal,0.9972830981016159,0.9925106078386307,0.9958684891462326,0.9967010408639908,0.9954903602600098,0.9910719096660614,0.9887465983629227,0.9837584286928177,0.9520294904708863,0.941137221455574,0.9562941581010819,0.9345868170261383,0.940274503827095,0.7977344855666161,0.5498605571687222
alphablend_0p20_normal,0.9946460336446762,0.9894604086875916,0.9950861364603043,0.9963966131210327,0.9951546430587769,0.9913102090358734,0.9878091782331466,0.9826360166072845,0.955083367228508,0.9480329036712647,0.9558602124452591,0.9377596318721771,0.9407130926847458,0.7801119357347488,0.5430910483002662
alphablend_0p30_normal,0.9924455672502518,0.9889975190162659,0.9932061403989791,0.9958797723054886,0.9942691564559937,0.9894930243492126,0.9884033471345901,0.9833362638950348,0.9561255067586899,0.9480802476406097,0.9592212438583374,0.9379892081022263,0.9422133237123489,0.7750858426094055,0.546224319934845
alphablend_0p40_normal,0.9652044087648392,0.9838965058326721,0.9863185197114944,0.9949184358119965,0.9928256064653397,0.9887763172388077,0.9869940459728241,0.9810343831777573,0.9573193281888962,0.9499487102031707,0.9600639939308167,0.939068466424942,0.9400456607341766,0.7617216601967811,0.5396637685596943
alphablend_0p50_normal,0.7831964999437332,0.9041843831539154,0.9749478548765182,0.9863022804260254,0.9878645598888397,0.9852867543697357,0.9836476385593415,0.9793517023324967,0.9588982105255127,0.9505854249000549,0.9567230492830276,0.9392738372087479,0.9341978013515473,0.7635447189211846,0.5430871225893498
alphablend_0p60_normal,0.2993260033428669,0.6719249859452248,0.8615861296653747,0.8890883445739746,0.9724852710962295,0.9813220649957657,0.9804063737392426,0.9770265370607376,0.9626962691545486,0.953250727057457,0.9589305877685547,0.9403944611549377,0.9358632534742355,0.7569372206926346,0.5355108253657818
alphablend_0p70_normal,0.13351325346156956,0.2491069944575429,0.5744286514818668,0.5128096431493759,0.7942081540822983,0.9579983562231064,0.9678824305534363,0.9701678484678269,0.9565619379281998,0.9490439891815186,0.9514197289943696,0.9250865012407303,0.9254124790430069,0.7583306714892387,0.5342366546392441
alphablend_0p80_normal,0.11004368793219328,0.016758362611290066,0.26361097963526847,0.2255083829164505,0.470134649053216,0.8500023275613785,0.9221879720687867,0.9376584619283677,0.9382948309183121,0.9331063210964203,0.9318668067455291,0.8969202518463135,0.8952153593301773,0.7121315732598305,0.5259132526814938
alphablend_0p82_normal,0.12255007615312934,0.012699991836416302,0.17036814314778895,0.19820775613188743,0.3452885661274195,0.7886911705136299,0.8906023234128952,0.9130416959524155,0.9275667488574981,0.9174199223518371,0.9130287587642669,0.8844391345977783,0.8797513604164123,0.711743013560772,0.5203664422035217
alphablend_0p85_normal,0.12672692406922578,0.007237064799119253,0.12022864030441269,0.15114011876285077,0.18519567409530283,0.6682930029928684,0.7867619544267654,0.876519626379013,0.8682518362998962,0.8855627208948136,0.87295251339674,0.8511550381779671,0.8615992158651352,0.682766504585743,0.516791283339262
alphablend_0p88_normal,0.12662450633943081,0.0023570141645905098,0.017738333879970015,0.1390654081478715,0.07366295387037099,0.5365169794298709,0.6882275238633155,0.8262958645820617,0.8505907356739044,0.8673281103372574,0.8594161987304687,0.8422546088695526,0.8401421368122101,0.6897458359599113,0.5199201799929142
alphablend_0p90_normal,0.14066387694329024,0.0032818963314639404,0.033328820526367056,0.12019138168543578,0.045627006016729865,0.45129902781918646,0.5905972436070442,0.7700599223375321,0.7588917940855027,0.8025562524795532,0.7954475075006485,0.7266815260052681,0.7828192472457886,0.6508045315742492,0.5164739690721035
alphablend_0p92_normal,0.14644627645611763,0.0026966040590195917,0.01134986631514039,0.12272600643336773,0.03826567143551074,0.3315237984643318,0.45367742627859114,0.6460936531424523,0.6600560612976551,0.7112914897501469,0.7155765742063522,0.7019375398755073,0.6995829150080681,0.6143648244440556,0.519251675158739
alphablend_0p95_normal,0.17223323956131936,0.0034357486918452198,0.01893639569170773,0.08707904741168022,0.005862171730404953,0.14374355163236033,0.18931179077117122,0.46609067991375924,0.44554996490478516,0.5182974070310593,0.5548914320766926,0.5304682314395904,0.5542433932423592,0.5597885906696319,0.5155988678336143
alphablend_0p98_normal,0.17082593217492104,0.003384485204878729,0.02019776410597842,0.10433385893702507,0.006127423541329335,0.06220452268607914,0.10477496762759983,0.2206140117254108,0.3034281020984054,0.2902669355273247,0.411358168721199,0.38135955333709715,0.404891661927104,0.4700218357145786,0.5154095977544785
