,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p82_normal_seed_1,alphablend_0p85_normal_seed_1,alphablend_0p88_normal_seed_1,alphablend_0p90_normal_seed_1,alphablend_0p92_normal_seed_1,alphablend_0p95_normal_seed_1,alphablend_0p98_normal_seed_1
alphablend_0p10_normal,0.9901072353124618,0.9895420551300049,0.9896809160709381,0.988491439819336,0.9864243716001511,0.9852849781513214,0.9787763953208923,0.9548532664775848,0.9254564136266709,0.7824827879667282,0.7783870011568069,0.6179182149469853,0.6435768730938435,0.5639142483472824,0.35788910575211047
alphablend_0p20_normal,0.9891790360212326,0.9888703495264053,0.9886666625738144,0.9874900132417679,0.9845571696758271,0.9835633724927902,0.979392585158348,0.9357812687754631,0.9225704714655876,0.7777296207845211,0.7738782003521919,0.59381904900074,0.6197795927524566,0.5265168331563472,0.3640639267861843
alphablend_0p30_normal,0.9887250423431396,0.9880745381116867,0.9880998581647873,0.9867106854915619,0.9859653025865555,0.9850874841213226,0.979054307937622,0.939857617020607,0.9333616644144058,0.7897510319948197,0.7637034073472023,0.5940696284174919,0.6166592568159104,0.543845123052597,0.3615649417042732
alphablend_0p40_normal,0.9856805384159089,0.985053101181984,0.9859429806470871,0.9858045846223831,0.9859255880117417,0.9845419377088547,0.9788798213005065,0.9288978859782219,0.9107802093029023,0.724123264849186,0.7564462140202522,0.5441513642668724,0.5457040846347809,0.49576895236968993,0.363258733227849
alphablend_0p50_normal,0.9627949476242066,0.9638453781604767,0.9649756222963333,0.9810120671987533,0.9810498476028442,0.9814380645751953,0.9758829414844513,0.950180646777153,0.9290471702814103,0.7796233221888542,0.7586201295256615,0.5831034630537033,0.5936226390302182,0.5185712791979313,0.3631013061851263
alphablend_0p60_normal,0.6628302443772555,0.6633364964276552,0.7436362907290459,0.9704187542200089,0.9721900790929794,0.9763442367315293,0.9697712123394012,0.923423808813095,0.9193668097257615,0.7660958901047706,0.7435995057225228,0.5787704348564148,0.6057936877012253,0.5169979959726334,0.35804613307118416
alphablend_0p70_normal,0.16166456658393144,0.12998176012188195,0.23910579937510193,0.7474396325647831,0.7094096586108207,0.9326035976409912,0.9635600984096527,0.9394237458705902,0.9256197810173035,0.7875603646039963,0.7599074229598045,0.5751618213951588,0.6219976991415024,0.5075057588517666,0.353071653097868
alphablend_0p80_normal,0.010059737833944381,0.001712136970309075,0.006002133934816811,0.1958611930895131,0.13284978580195456,0.5679501130245626,0.8671466261148453,0.8439378887414932,0.871178051829338,0.7690739035606384,0.7387416124343872,0.5620773389935494,0.596164433658123,0.4968892127275467,0.3526570536196232
alphablend_0p82_normal,0.0021133175323484465,0.0012064841925166548,0.0028424495598301292,0.11623588809743524,0.06281125251553021,0.3157203055045102,0.7031974254176021,0.8149621933698654,0.8474639266729355,0.716923451423645,0.7107318222522736,0.5486033797264099,0.5667685374617577,0.4838679477572441,0.352089349552989
alphablend_0p85_normal,0.0012979870545677841,0.00032041656377259644,0.00022709632612532004,0.03731523297319654,0.012896354954864363,0.1721996891370509,0.4827077087014914,0.6687550235539674,0.6694827057421208,0.6065546832978725,0.6111424464732409,0.5467431202530861,0.5407183472067117,0.4246896427124739,0.3518877919763327
alphablend_0p88_normal,0.0,0.0,0.0,0.001470049563795328,7.408779347315431e-05,0.03228282858617604,0.30322391364024953,0.5414701604284347,0.5817304708063602,0.6068929722066969,0.646128597855568,0.5579736843705178,0.5476801186800003,0.46931652911007404,0.3509378515183926
alphablend_0p90_normal,0.0,1.6069419507402928e-05,0.0,0.00015120967291295528,0.0006498470902442932,0.010139606916345656,0.2317717386293225,0.4146428043022752,0.49308255687355995,0.5229318890720606,0.5430419928161427,0.5102604276500642,0.511928666010499,0.4321121207205579,0.348795710504055
alphablend_0p92_normal,0.0,0.0,0.0,6.760182441212237e-05,4.323122557252646e-05,0.001175075490027666,0.18303111419081688,0.3283370666555129,0.4102306168526411,0.4184802298514114,0.4874842194840312,0.4807170953601599,0.4751598969174665,0.37662185546942056,0.3509194266051054
alphablend_0p95_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.017286792420782147,0.0923636935185641,0.19198378769215196,0.29816187155811347,0.28927855771034955,0.38688431717455385,0.3950620790012181,0.3891258783638477,0.34854001775383947
alphablend_0p98_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.00538402364909416,0.05669088975992054,0.10239944192580878,0.21399757713079454,0.19798848880454897,0.3318117983173579,0.3198158198967576,0.3456315226852894,0.35661106891930106
