,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p82_normal_seed_1,alphablend_0p85_normal_seed_1,alphablend_0p88_normal_seed_1,alphablend_0p90_normal_seed_1,alphablend_0p92_normal_seed_1,alphablend_0p95_normal_seed_1,alphablend_0p98_normal_seed_1
alphablend_0p10_normal,1.182842712474619,2.2815643795213254,8.552910983996933,2.5360674675869177,1.5771601883432527,8.431285832611076,12.75627602956499,13.0183736573837,5.199935475618182,16.921547448416483,4.829764810084898,7.179198364102929,5.833234437869738,27.41106453937161,69.23776937352078
alphablend_0p20_normal,2.41557778992682,2.5481995019428823,8.560156852717906,1.365685424949238,1.7242640687119284,10.961852285974086,2.787037295732003,9.010996730175824,4.8609451403477495,15.999225811490579,5.21742974004504,7.028508414793779,6.899153176242713,33.23650301022578,68.59384094351273
alphablend_0p30_normal,19.376360689107575,2.4325115327138214,2.087682435772261,1.4981995019428822,1.8501759857265903,2.1538556159322337,8.809187329983722,3.2737501088895513,4.9746033475492,10.782867466344834,4.532361872315095,6.976495523960523,6.5639122568035315,33.98560415610173,67.97561335737295
alphablend_0p40_normal,31.297709835075942,13.490340818307265,4.762529263350828,1.8778197947541322,1.9010956215742065,2.53540492547556,10.270643405668142,4.498129115574297,10.513924715007208,10.706102791431713,5.348444263810835,7.3636279964971205,7.537096059231236,36.45397846851752,70.67304434639537
alphablend_0p50_normal,42.234310759270976,32.63318488609706,16.02378781093997,11.640308542780073,3.05167351888759,2.949635067608669,3.2515926914623607,3.482019570100749,4.95042998830517,5.732075077068002,5.431838995811648,7.792883579599848,7.754800682410343,37.195600780567545,70.1308732416863
alphablend_0p60_normal,128.07501145139676,65.50392039554822,33.44981078533818,36.15672628663391,23.329131074709032,3.60834260351169,8.425191429904322,4.3442686418966305,4.847347231985333,10.513873066629747,6.348840435550541,7.831364627368484,7.904164990439341,39.418399010713856,70.514831372896
alphablend_0p70_normal,145.94657877837702,115.70130462304421,87.50263575497311,93.40738860032661,68.41323481761427,16.098711985272708,10.114226158289167,9.970587827801303,5.637622853133493,6.270520994924322,7.991339978351119,10.080203727999741,12.128590140536412,40.74865023950992,72.78301681608075
alphablend_0p80_normal,146.48439706047,146.45470233132875,141.98086310268303,146.6230735734519,134.66147080241652,92.55844198513194,32.706083960333814,36.225242783637896,18.539629212830665,13.192961504959507,11.393616334863486,16.748480561926662,23.47147662088775,53.283497299812936,75.24375671775972
alphablend_0p82_normal,146.29409130259813,146.51415582751108,144.01546530976356,146.61463564538874,141.6440626234157,114.96270404952364,39.816179786570395,42.66873710951986,26.717571714323185,22.07313342735298,15.83316756683497,20.10530572480794,24.336894929228666,50.57055551319719,75.67325203000686
alphablend_0p85_normal,146.35287541716454,146.53926805716907,144.27229148221141,146.65090062377445,146.1215720509683,118.45457198310933,82.08619929983722,59.085765231309814,48.055171228695016,37.592161518962264,37.60099165250231,36.1447600969951,32.465281019809886,58.158884634299966,73.81111354165397
alphablend_0p88_normal,146.44746255288,146.46962974183728,146.65090062377445,146.65090062377445,146.53798956763978,131.4546891108146,104.7926592075515,84.92033187169281,82.47966563147943,50.22851786263083,52.945531532975906,39.75498240862393,47.772771337505986,56.79151297454073,73.84756095588673
alphablend_0p90_normal,146.2339636363546,146.40001348107674,146.65090062377445,146.62205955471194,146.53798956763978,137.5866394043233,111.1202295668716,99.98442589840721,97.96259326406468,79.96483322721619,62.19082008287198,57.12472005642309,48.838725596163236,62.477158899912965,74.41421547046355
alphablend_0p92_normal,146.3519079648773,146.52818754780014,146.65090062377445,146.65090062377445,144.83160679537417,138.72186615471318,127.68197907527733,115.56267902016748,113.53359292223749,94.93068306451917,89.40840071935523,71.56254109792101,66.61304542332985,62.83811739852922,74.34481003883674
alphablend_0p95_normal,146.3461184024762,146.56563199071067,146.65090062377445,146.65090062377445,146.55473245447288,143.19123824654088,134.81365858752974,122.7220992284609,119.70775234669854,106.66684737097258,99.18767080667301,92.56981645825276,83.63649419687283,68.94729198696888,74.81110361492117
alphablend_0p98_normal,146.28828724334994,146.48683380336166,146.62205955471194,146.65090062377445,146.5942325043894,143.36089890815282,136.311966924994,123.7299972254161,123.43450330853473,120.68127876288179,101.60489686063224,86.70708845861509,87.27020734985159,69.43199362522094,75.5337468996232
