,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p82_normal_seed_1,alphablend_0p85_normal_seed_1,alphablend_0p88_normal_seed_1,alphablend_0p90_normal_seed_1,alphablend_0p92_normal_seed_1,alphablend_0p95_normal_seed_1,alphablend_0p98_normal_seed_1
alphablend_0p10_normal,2.1604412514301288,2.449947744600167,2.2277933846121174,2.64578647130525,4.318947788465996,9.896190425274689,28.082011772543314,51.369280878195426,51.88900944824361,52.61197707207528,76.05755693047828,93.89975225144156,95.53649455817077,104.71105010589483,122.15761595538534
alphablend_0p20_normal,2.458866680069493,2.6023884242539514,6.90787376727978,2.5731842328979315,6.531548457349027,8.647853602553063,19.786467352803008,45.665658155858914,55.08700757802893,59.851450309137796,73.25132098825581,93.57021741612408,97.69542705915707,105.73229415740563,122.05890869997543
alphablend_0p30_normal,4.503886421522894,2.7507584580073896,2.6225732857860935,2.6266713528958965,4.963500157804342,6.049588611155867,22.204588446556972,45.14917671633001,62.474921612644565,54.40959983631819,75.1280644616,90.52824450797662,102.33425176639535,104.01891787373668,116.62804754007236
alphablend_0p40_normal,11.663508405677007,3.0663162857691733,6.764428051232814,6.422473136450776,9.40871417106477,8.098411153185442,21.323198527227387,32.28950898749082,61.461651741662266,67.88791332737921,79.02577602485255,95.82584392330477,100.91154780557915,101.38008395085139,122.48508169739621
alphablend_0p50_normal,7.306583890930358,12.962729394625384,8.688821549076385,3.5971809289914076,8.419627924990525,10.882919933834746,26.380561345260695,33.26370091546889,52.99959414433582,60.51908312006162,66.99646404708699,89.95144358924627,98.94007310736615,106.31775039763288,121.48471618727065
alphablend_0p60_normal,29.132325314790535,34.921204630070456,27.619867807761285,15.86452300912041,8.611604166451503,5.9527008339249265,37.46053609328927,34.808590931919014,63.07159424496929,67.13982267477097,71.24042533592998,91.57353275167648,99.02762834370891,104.07909096285191,118.41618155163928
alphablend_0p70_normal,inf,inf,41.29278852219895,inf,28.68086529319972,19.345960158450076,29.115433730165527,45.28424299002463,67.21097275696795,57.927942409348624,68.21204113731888,89.38551009357208,100.85376365185695,106.28739096543548,119.52113651473726
alphablend_0p80_normal,inf,inf,inf,inf,inf,51.61746804257316,38.35481365806834,45.96927893165299,48.56670405040903,60.25750453638956,67.72756999026906,92.13547861186262,100.3154427538263,100.36296611049698,116.79344557920858
alphablend_0p82_normal,inf,inf,inf,inf,inf,inf,45.59154635986704,45.7170475185412,57.11082594096863,63.549021867638636,74.08386957331197,91.57067433088744,98.09775152139619,104.52151171072447,120.75406564020844
alphablend_0p85_normal,inf,inf,inf,inf,inf,inf,50.16283542470906,62.761152073406365,65.60987780462563,72.11195220559094,74.67511143069262,92.09939104808514,95.576765252693,105.15469288443767,120.14170642509194
alphablend_0p88_normal,inf,inf,inf,inf,inf,inf,inf,61.79700538210174,61.198262730081034,83.02895110162815,72.13353720672083,88.37048971451823,98.6580431473455,102.75123295146288,118.55166025217355
alphablend_0p90_normal,inf,inf,inf,inf,inf,inf,inf,77.86965965750899,73.20998318722297,79.24533220268252,73.55614250079009,89.44049988662064,96.83825907860441,107.06406679640888,118.46440164307762
alphablend_0p92_normal,inf,inf,inf,inf,inf,inf,inf,inf,76.18493382808296,inf,71.58732381625705,94.55790949235801,99.26569422323546,110.06369165103563,120.14480418757766
alphablend_0p95_normal,inf,inf,inf,inf,inf,inf,inf,inf,89.63303643965743,inf,85.48749078949656,95.68912881308007,100.29692436715126,109.82099739120983,119.61086394662104
alphablend_0p98_normal,inf,inf,inf,inf,inf,inf,inf,inf,94.44054722830333,93.99014386451043,87.93754234225905,93.34846349974379,100.1061419304722,103.87213261474275,118.56944544351566
