,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p82_normal_seed_1,alphablend_0p85_normal_seed_1,alphablend_0p88_normal_seed_1,alphablend_0p90_normal_seed_1,alphablend_0p92_normal_seed_1,alphablend_0p95_normal_seed_1,alphablend_0p98_normal_seed_1
alphablend_0p10_normal,2.147187185357943,2.509732985720208,2.516975892180053,2.3570803710445327,4.39430837243494,2.9475313674461603,14.610119907614626,48.553822740855765,64.05294837128977,63.15147399381726,78.60056085525082,97.027884506827,115.60003134274125,95.81799402309146,144.07654490864527
alphablend_0p20_normal,2.2805797891121595,2.1636683419913574,2.5113104574139693,2.5492974589660187,3.236652004556742,5.739461871335631,21.41567343484082,47.14061325854891,50.30923223194457,69.09216614331604,87.56530474778059,98.07583770000166,116.41989611148942,94.94392730242744,144.252733908735
alphablend_0p30_normal,10.222378887485716,2.4399254189680817,5.61167471605018,6.355321271193462,6.813453649616011,7.073858098469873,33.65220594032352,48.83037984116872,68.70488487546847,62.684418701903134,74.82685117276756,97.57434281538197,123.95476957396961,96.70341289306707,144.831190217329
alphablend_0p40_normal,16.60995234047556,3.3585653411283536,2.7038579513811642,14.422367652737677,2.945143182345177,12.039070434822197,30.218464865514687,66.1414810454862,76.86489420157257,78.11365842335906,84.222289137954,99.57080893297719,127.77310278744403,96.38202406412444,142.95037279898878
alphablend_0p50_normal,30.081441623834564,24.252143892751533,29.141700221199375,4.433210166930877,4.963246902477041,6.671988690248464,16.507532917119185,45.47239181961675,61.666466971892305,62.26154436457798,90.89761697000395,95.95234207155234,123.66596574279015,95.4899282966359,144.18151837616227
alphablend_0p60_normal,39.26199207624988,38.3016594524487,35.32135849582167,12.748021515108379,14.933127298267333,11.244748997999833,38.22442124322007,55.78113378060086,58.692677756492614,76.41101043787944,92.07809600154108,97.21367334387843,124.61567994026707,93.32502897267908,144.37858877683215
alphablend_0p70_normal,inf,inf,inf,32.02610812525807,31.708704438788477,20.17747915810152,21.34223648396404,52.56819677717207,62.10053894486956,68.54630226038188,74.93681556931061,93.13711839504646,128.1706694521115,94.70306723895486,144.94393453434412
alphablend_0p80_normal,inf,inf,inf,69.04059113332004,inf,47.79509432829594,36.205508246482026,58.71548563289825,57.662980813157255,66.8098028139312,76.11522840635182,94.03215516492116,125.62838169175855,94.33028537326794,144.53284442761924
alphablend_0p82_normal,inf,inf,inf,inf,inf,68.75754901144731,46.14355355851982,48.1638452518199,66.45444550033048,72.99471052367511,84.0778070809515,94.05295789804588,122.71103256686547,96.92351063081794,144.33379564136453
alphablend_0p85_normal,inf,inf,inf,inf,inf,inf,inf,78.36070908697494,75.87864120319642,83.46382533499136,85.25876381526842,100.9122226130359,126.86286529941495,99.03714742499614,144.94068428251964
alphablend_0p88_normal,inf,inf,inf,inf,inf,inf,inf,inf,74.99365094343119,inf,86.94940083857921,94.88689158936953,119.26680817023949,97.36502903685435,144.451059854251
alphablend_0p90_normal,inf,inf,inf,inf,inf,inf,inf,78.76334211494634,72.465868650734,inf,84.87800087283087,98.2903818934127,126.35275301036624,96.10147847336874,143.43181688890232
alphablend_0p92_normal,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,87.4237679914093,96.67033924928351,124.17740178536319,94.32575207223672,144.38118910549116
alphablend_0p95_normal,inf,inf,inf,inf,inf,inf,inf,inf,87.14363649469429,88.72135300007723,91.0282022819907,98.92728755876448,125.93243136009797,98.13081377546078,144.44828851845068
alphablend_0p98_normal,inf,inf,inf,inf,inf,inf,inf,inf,100.0598829617749,107.20398266542398,86.48916786253399,96.32266439081826,123.25264284217091,96.19767348039781,143.7941767165904
